Week, Interest
2019-07-07,79
2019-07-14,80
2019-07-21,83
2019-07-28,82
2019-08-04,81
2019-08-11,80
2019-08-18,88
2019-08-25,86
2019-09-01,98
2019-09-08,96
2019-09-15,100
2019-09-22,86
2019-09-29,74
2019-10-06,71
2019-10-13,71
2019-10-20,67
2019-10-27,69
2019-11-03,68
2019-11-10,71
2019-11-17,75
2019-11-24,69
2019-12-01,71
2019-12-08,70
2019-12-15,73
2019-12-22,69
2019-12-29,73
2020-01-05,74
2020-01-12,69
2020-01-19,71
2020-01-26,67
2020-02-02,70
2020-02-09,72
2020-02-16,76
2020-02-23,74
2020-03-01,77
2020-03-08,69
2020-03-15,62
2020-03-22,58
2020-03-29,61
2020-04-05,63
2020-04-12,71
2020-04-19,70
2020-04-26,73
2020-05-03,79
2020-05-10,76
2020-05-17,83
2020-05-24,88
2020-05-31,81
2020-06-07,86
2020-06-14,83
2020-06-21,85
2020-06-28,84
2020-07-05,86
2020-07-12,85
2020-07-19,87
2020-07-26,86
2020-08-02,88
2020-08-09,83
2020-08-16,80
2020-08-23,79
2020-08-30,75
2020-09-06,77
2020-09-13,76
2020-09-20,75
2020-09-27,68
2020-10-04,72
2020-10-11,71
2020-10-18,70
2020-10-25,67
2020-11-01,58
2020-11-08,71
2020-11-15,65
2020-11-22,62
2020-11-29,65
2020-12-06,66
2020-12-13,65
2020-12-20,64
2020-12-27,72
2021-01-03,68
2021-01-10,66
2021-01-17,71
2021-01-24,70
2021-01-31,67
2021-02-07,69
2021-02-14,68
2021-02-21,73
2021-02-28,73
2021-03-07,80
2021-03-14,79
2021-03-21,77
2021-03-28,81
2021-04-04,82
2021-04-11,76
2021-04-18,78
2021-04-25,73
2021-05-02,76
2021-05-09,75
2021-05-16,73
2021-05-23,75
2021-05-30,76
2021-06-06,76
2021-06-13,77
2021-06-20,76
2021-06-27,74
2021-07-04,76
2021-07-11,82
2021-07-18,83
2021-07-25,79
2021-08-01,77
2021-08-08,78
2021-08-15,77
2021-08-22,77
2021-08-29,75
2021-09-05,72
2021-09-12,73
2021-09-19,72
2021-09-26,71
2021-10-03,72
2021-10-10,68
2021-10-17,71
2021-10-24,68
2021-10-31,68
2021-11-07,72
2021-11-14,68
2021-11-21,62
2021-11-28,66
2021-12-05,68
2021-12-12,68
2021-12-19,65
2021-12-26,74
2022-01-02,62
2022-01-09,62
2022-01-16,58
2022-01-23,61
2022-01-30,63
2022-02-06,62
2022-02-13,65
2022-02-20,63
2022-02-27,66
2022-03-06,69
2022-03-13,64
2022-03-20,72
2022-03-27,66
2022-04-03,66
2022-04-10,68
2022-04-17,71
2022-04-24,68
2022-05-01,68
2022-05-08,67
2022-05-15,66
2022-05-22,69
2022-05-29,66
2022-06-05,69
2022-06-12,70
2022-06-19,70
2022-06-26,71
2022-07-03,67
2022-07-10,71
2022-07-17,69
2022-07-24,69
2022-07-31,68
2022-08-07,73
2022-08-14,70
2022-08-21,66
2022-08-28,66
2022-09-04,61
2022-09-11,66
2022-09-18,62
2022-09-25,64
2022-10-02,61
2022-10-09,62
2022-10-16,61
2022-10-23,62
2022-10-30,60
2022-11-06,59
2022-11-13,59
2022-11-20,52
2022-11-27,58
2022-12-04,57
2022-12-11,56
2022-12-18,57
2022-12-25,62
2023-01-01,64
2023-01-08,60
2023-01-15,60
2023-01-22,65
2023-01-29,64
2023-02-05,63
2023-02-12,61
2023-02-19,64
2023-02-26,65
2023-03-05,66
2023-03-12,61
2023-03-19,62
2023-03-26,64
2023-04-02,65
2023-04-09,66
2023-04-16,65
2023-04-23,66
2023-04-30,63
2023-05-07,63
2023-05-14,64
2023-05-21,63
2023-05-28,64
2023-06-04,65
2023-06-11,65
2023-06-18,69
2023-06-25,69
2023-07-02,67
2023-07-09,69
2023-07-16,66
2023-07-23,66
2023-07-30,66
2023-08-06,66
2023-08-13,66
2023-08-20,66
2023-08-27,65
2023-09-03,63
2023-09-10,63
2023-09-17,61
2023-09-24,62
2023-10-01,60
2023-10-08,61
2023-10-15,59
2023-10-22,60
2023-10-29,58
2023-11-05,63
2023-11-12,56
2023-11-19,55
2023-11-26,59
2023-12-03,59
2023-12-10,58
2023-12-17,58
2023-12-24,61
2023-12-31,60
2024-01-07,59
2024-01-14,58
2024-01-21,62
2024-01-28,64
2024-02-04,66
2024-02-11,62
2024-02-18,68
2024-02-25,66
2024-03-03,67
2024-03-10,66
2024-03-17,66
2024-03-24,66
2024-03-31,67
2024-04-07,70
2024-04-14,69
2024-04-21,68
2024-04-28,72
2024-05-05,66
2024-05-12,69
2024-05-19,67
2024-05-26,68
2024-06-02,72
2024-06-09,69
2024-06-16,71
2024-06-23,72
2024-06-30,68
2024-07-07,70
